FIPS,POP2020,Other Christian Denominations_adh,Mainline Protestant_adh,Liturgical/Traditional_adh,Other_adh,Evangelical/Fundamentalist_adh,Judaism_adh,Hinduism_adh,Buddhism_adh,Islam_adh
20089,2932,122.14,19.92,32.94,78.77,8.25,0.0,0.0,0.0,0.0
20105,2939,83.05,9.59,22.65,64.42,4.12,0.0,0.0,0.0,0.0
20165,2956,191.59000000000003,53.59,51.57000000000001,124.39,2.2,0.0,0.0,0.0,0.0
31163,2959,609.29,55.39,166.17000000000002,387.73,3.4499999999999997,0.0,0.0,0.0,0.0
46117,2980,466.62,65.53,127.26,296.94,0.0,0.0,0.0,0.0,0.0
38011,2993,329.2,124.56,89.4,208.60000000000002,12.24,0.0,0.0,0.0,0.0
38063,3015,227.7,158.8,62.099999999999994,147.54999999999998,0.0,0.0,0.0,0.0,0.0
30025,3049,160.49,77.31,43.769999999999996,102.13,21.98,0.0,0.0,0.0,0.0
48295,3059,272.07,31.98,73.56,181.45,38.019999999999996,0.0,0.0,0.0,0.0
31083,3073,74.14,26.520000000000003,20.22,50.11,0.0,0.0,0.0,0.0,0.0
48105,3098,205.92,18.72,56.16,131.04,47.82000000000001,0.0,0.0,0.0,0.0
48417,3105,48.84,6.5200000000000005,13.32,31.080000000000002,79.61,0.0,0.0,0.0,0.0
20207,3115,73.15,22.119999999999997,19.950000000000003,46.550000000000004,3.05,0.0,0.0,0.0,0.0
48271,3129,332.96999999999997,36.12,90.81,211.89,43.67999999999999,0.0,0.0,0.0,0.0
46059,3145,262.02,36.86,71.46000000000001,175.27,9.49,0.0,0.0,0.0,0.0
48229,3202,322.96,29.36,88.08,205.51999999999998,19.05,0.0,0.0,0.0,0.0
6091,3236,17.71,1.61,4.83,13.120000000000001,17.05,0.0,0.0,0.0,0.0
37177,3245,35.2,15.940000000000001,9.600000000000001,27.020000000000003,28.19,0.0,0.0,0.0,0.0
48129,3258,55.31999999999999,19.419999999999998,13.799999999999999,41.41,128.6,0.0,0.0,0.0,0.0
40059,3272,108.57,9.87,29.61,70.61999999999999,59.32,0.0,0.0,0.0,0.0
48081,3285,39.489999999999995,3.59,10.77,25.13,87.31,0.0,0.0,0.0,0.0
38029,3301,898.04,106.28000000000002,244.92000000000002,571.48,2.37,0.0,0.0,0.0,0.0
48095,3303,170.5,15.5,46.5,108.5,29.990000000000002,0.0,0.0,0.0,0.0
48461,3308,413.72999999999996,36.76,110.28,261.85,57.7,0.0,0.0,0.0,0.0
30039,3309,119.35,17.479999999999997,32.55,79.58,0.0,0.0,0.0,0.0,0.0
48275,3353,137.45000000000002,12.17,36.51,85.19,101.22,0.0,0.0,0.0,0.0
27155,3360,241.89,70.02,65.97,153.93,0.0,0.0,0.0,0.0,0.0
48435,3372,384.48,74.28999999999999,103.92,252.86,29.450000000000003,0.0,0.0,0.0,0.0
20019,3379,11.87,13.719999999999999,2.94,6.859999999999999,31.939999999999998,0.0,0.0,0.0,0.0
31125,3380,413.93000000000006,49.050000000000004,112.89000000000001,263.41,0.0,0.0,0.0,0.0,0.0
46007,3381,73.47999999999999,89.79,20.04,46.76,0.0,0.0,0.0,0.0,0.0
48211,3382,201.63,18.33,54.989999999999995,137.18,103.67,0.0,0.0,0.0,0.0
48383,3385,227.14999999999998,20.65,61.949999999999996,144.54999999999998,58.98,0.0,0.0,0.0,0.0
31181,3395,20.64,5.66,5.13,11.969999999999999,4.71,0.0,0.0,0.0,0.0
38031,3397,164.78,38.24,44.94,107.80000000000001,18.630000000000003,0.0,0.0,0.0,0.0
2195,3398,33.49,36.18,8.82,22.05,14.43,0.0,0.0,0.0,0.0
2013,3420,0.0,0.0,42.400000000000006,40.64,1.02,0.0,0.0,0.0,0.0
31105,3434,153.25,33.019999999999996,40.89,97.16,12.700000000000001,0.0,0.0,0.0,0.0
40129,3442,0.0,0.0,0.0,5.81,127.83,0.0,0.0,0.0,0.0
46061,3461,284.13,25.83,77.49,191.11999999999998,0.0,0.0,0.0,0.0,0.0
48023,3465,229.79000000000002,20.89,62.67,154.31,75.5,0.0,0.0,0.0,0.0
8023,3499,321.96999999999997,29.27,87.81,204.89,0.57,0.0,0.0,0.0,0.0
20141,3500,129.86,12.74,34.8,81.19999999999999,6.5,0.0,0.0,0.0,0.0
8009,3506,38.720000000000006,3.39,10.17,23.73,27.499999999999996,0.0,0.0,0.0,0.0
16061,3533,294.03999999999996,33.66,77.69999999999999,188.38,12.859999999999998,0.0,0.0,0.0,0.0
29129,3538,35.5,2.4,7.199999999999999,23.02,66.26,0.0,0.0,0.0,0.0
30091,3539,113.18,45.75,30.69,71.61,7.33,0.0,0.0,0.0,0.0
48197,3549,63.25,5.75,17.25,40.25,91.28,0.0,0.0,0.0,0.0
20183,3570,41.910000000000004,39.39,11.43,32.269999999999996,26.08,0.0,0.0,0.0,0.0
35003,3579,272.86,24.62,73.86,172.34,6.85,0.0,0.0,0.0,0.0
