FIPS,POP2020,Other Christian Denominations_adh,Mainline Protestant_adh,Liturgical/Traditional_adh,Other_adh,Evangelical/Fundamentalist_adh,Judaism_adh,Hinduism_adh,Buddhism_adh,Islam_adh,total_adh
6091,3236,1.61,0.0,0.0,1.85,6.67,0.0,0.0,0.0,0.0,10.129999999999999
37177,3245,3.2,5.3,0.0,4.62,25.11,0.0,0.0,0.0,0.0,38.230000000000004
48129,3258,5.64,1.5999999999999999,0.0,9.21,59.82,0.0,0.0,0.0,0.0,76.27
40059,3272,9.87,0.0,0.0,1.53,57.18,0.0,0.0,0.0,0.0,68.58
48081,3285,3.59,0.0,0.0,0.0,46.37,0.0,0.0,0.0,0.0,49.959999999999994
38029,3301,81.64,15.82,0.0,0.0,0.79,0.0,0.0,0.0,0.0,98.25000000000001
48095,3303,15.5,0.0,0.0,0.0,18.35,0.0,0.0,0.0,0.0,33.85
48461,3308,46.129999999999995,0.0,0.0,4.53,41.48,0.0,0.0,0.0,0.0,92.13999999999999
30039,3309,10.85,0.99,0.0,3.63,0.0,0.0,0.0,0.0,0.0,15.469999999999999
48275,3353,12.17,0.0,0.0,0.0,48.2,0.0,0.0,0.0,0.0,60.370000000000005
27155,3360,21.99,13.719999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.709999999999994
48435,3372,38.08,3.4099999999999997,0.0,10.38,24.05,0.0,0.0,0.0,0.0,75.92
20019,3379,2.0700000000000003,0.98,0.0,0.0,13.559999999999999,0.0,0.0,0.0,0.0,16.61
31125,3380,37.63,9.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.07
46007,3381,6.68,15.059999999999999,0.0,0.0,2.37,0.0,0.0,0.0,0.0,24.11
48211,3382,18.33,5.74,0.0,8.87,32.150000000000006,0.0,0.0,0.0,0.0,65.09
48383,3385,20.65,0.0,0.0,0.0,36.54,0.0,0.0,0.0,0.0,57.19
31181,3395,3.54,3.95,0.0,0.0,2.77,0.0,0.0,0.0,0.0,10.26
38031,3397,14.98,18.43,0.0,2.94,6.210000000000001,0.0,0.0,0.0,0.0,42.559999999999995
2195,3398,4.09,15.649999999999999,0.0,1.47,6.949999999999999,0.0,0.0,0.0,0.0,28.159999999999997
2013,3420,0.0,0.0,8.48,32.16,1.02,0.0,0.0,0.0,0.0,41.660000000000004
31105,3434,16.95,6.96,0.0,1.75,5.300000000000001,0.0,0.0,0.0,0.0,30.96
40129,3442,0.0,0.0,0.0,5.81,64.87,0.0,0.0,0.0,0.0,70.68
46061,3461,25.83,1.07,0.0,10.31,0.0,0.0,0.0,0.0,0.0,37.21
48023,3465,20.89,3.58,0.0,8.08,51.26,0.0,0.0,0.0,0.0,83.81
8023,3499,29.27,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,29.84
20141,3500,13.86,1.14,0.0,0.0,3.08,0.0,0.0,0.0,0.0,18.08
8009,3506,4.82,0.0,0.0,0.0,10.629999999999999,0.0,0.0,0.0,0.0,15.45
16061,3533,35.04,4.45,0.0,7.08,6.06,0.0,0.0,0.0,0.0,52.63
29129,3538,11.5,0.0,0.0,6.22,55.4,0.0,0.0,0.0,0.0,73.12
30091,3539,10.88,19.3,0.0,0.0,2.91,0.0,0.0,0.0,0.0,33.09
48197,3549,5.75,0.62,0.0,0.0,52.72,0.0,0.0,0.0,0.0,59.089999999999996
20183,3570,3.81,22.55,0.0,5.6,13.98,0.0,0.0,0.0,0.0,45.94
35003,3579,26.66,0.0,0.0,0.0,3.85,0.0,0.0,0.0,0.0,30.51
17069,3649,6.85,0.0,0.0,0.0,30.769999999999996,0.0,0.0,0.0,0.0,37.62
48151,3672,14.71,0.0,0.0,0.0,65.5,0.0,0.0,0.0,0.0,80.21000000000001
30097,3678,4.79,13.219999999999999,0.0,0.0,1.1099999999999999,0.0,0.0,0.0,0.0,19.119999999999997
51720,3687,3.69,5.21,0.0,0.0,36.21,0.0,0.0,0.0,0.0,45.11
13101,3697,0.0,0.0,0.0,0.0,14.55,0.0,0.0,0.0,0.0,14.55
19003,3704,6.1899999999999995,11.04,0.0,0.0,1.62,0.0,0.0,0.0,0.0,18.849999999999998
38019,3704,42.01,32.480000000000004,0.0,4.05,2.62,0.0,0.0,0.0,0.0,81.16000000000001
46085,3718,83.46,20.52,0.0,0.0,2.3099999999999996,0.0,0.0,0.0,0.0,106.28999999999999
29103,3744,29.25,0.0,0.0,0.0,26.64,0.0,0.0,0.0,0.0,55.89
40045,3749,7.8100000000000005,0.0,0.0,3.73,45.08,0.0,0.0,0.0,0.0,56.62
17151,3763,0.0,0.93,0.0,0.0,19.69,0.0,0.0,0.0,0.0,20.62
27077,3763,9.69,46.379999999999995,0.0,2.13,2.15,0.0,0.0,0.0,0.0,60.349999999999994
20081,3780,16.93,0.0,0.0,1.85,30.589999999999996,0.0,0.0,0.0,0.0,49.37
28125,3800,2.1799999999999997,5.47,0.0,5.79,37.21,0.0,0.0,0.0,0.0,50.65
46025,3837,7.45,33.97,0.0,16.53,1.93,0.0,0.0,0.0,0.0,59.88
38081,3862,15.1,52.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.61
31029,3893,16.59,0.0,0.0,4.11,2.44,0.0,0.0,0.0,0.0,23.14
38085,3898,17.24,11.55,0.0,0.0,3.28,0.0,0.0,0.0,0.0,32.07
46031,3902,25.55,20.09,0.0,0.0,1.18,0.0,0.0,0.0,0.0,46.82
27125,3935,42.06,30.259999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.32
53013,3952,9.14,5.569999999999999,0.0,0.0,4.99,0.0,0.0,0.0,0.0,19.700000000000003
48319,3953,17.48,11.38,0.0,20.24,9.76,0.0,0.0,0.0,0.0,58.85999999999999
38103,3982,28.53,34.68,0.0,2.51,9.39,0.0,0.0,0.0,0.0,75.11
20093,3983,20.14,1.65,0.0,3.77,7.380000000000001,0.0,0.0,0.0,0.0,32.94
46045,3986,24.990000000000002,21.05,0.0,12.02,0.0,0.0,0.0,0.0,0.0,58.06
38069,3990,32.03,32.03,0.0,0.0,1.13,0.0,0.0,0.0,0.0,65.19
46053,3994,39.41,12.329999999999998,0.0,0.0,4.04,0.0,0.0,0.0,0.0,55.779999999999994
29197,4032,10.2,1.64,0.0,2.33,35.86,0.0,0.0,0.0,0.0,50.03
21189,4051,0.89,3.41,0.0,6.17,17.080000000000002,0.0,0.0,0.0,0.0,27.55
20119,4055,26.44,0.15,0.0,22.19,7.299999999999999,0.0,0.0,0.0,0.0,56.08
31175,4059,29.59,2.71,0.0,0.0,5.220000000000001,0.0,0.0,0.0,0.0,37.519999999999996
20185,4072,5.38,0.0,0.0,2.46,6.1899999999999995,0.0,0.0,0.0,0.0,14.03
35059,4079,49.91,0.0,0.0,2.94,7.65,0.0,0.0,0.0,0.0,60.49999999999999
38045,4093,19.38,26.33,0.0,5.25,4.57,0.0,0.0,0.0,0.0,55.529999999999994
31129,4095,16.78,13.939999999999998,0.0,5.13,7.57,0.0,0.0,0.0,0.0,43.42
38025,4095,40.32,31.86,0.0,5.62,0.61,0.0,0.0,0.0,0.0,78.41000000000001
32029,4104,31.77,0.7,0.0,0.0,0.27,0.0,0.0,0.0,0.0,32.74
22107,4147,1.93,2.31,0.0,0.0,30.400000000000002,0.0,0.0,0.0,0.0,34.64
